Agency Name,County,Phone Number,Hours of Operation,Location,Additional Address Info.
Feed - Food Enough For Everybody Distribution,Howell,417-277-5521,1st Thurs 8:00-12:00,"806 State Highway Y
Mountain View, MO 65548
(37.02022, -91.72561)",
Munch - Missourians United To Combat Hunger,Howell,417-469-3221,Mon-Fri 12:00-4:00 & Sat 10:00-12:00,"811 East Main Street
Willow Springs, MO 65793
(36.98836, -91.962043)",
Immaculate Conception - Svdp,St. Francois,573-431-2427,Fri 7:30-9:30,"1020 West Main
Park Hills, MO 63624
(37.861068, -90.534099)",
Zalma General Baptist Food Pantry,Bollinger,573-225-3615,2nd Fri 3:30-5:30,"9369 Maple Street
Zalma, MO 63787
(37.1422929, -90.0807349)",Box 202
Agape Ministry - Warrenton,Warren,636-456-4645,Mon-Fri 9:30-12 & 1-2:30,"713 Powell Street
Warrenton, MO 63383
(38.819207, -91.136376)",
Harrison County Food Pantry,Harrison,660-425-3833,"Tues, Thurs 9:00-12:00, 1:00-4:00","702 North 25th Street
Bethany, MO 64424
(40.276493, -94.026793)",
Salvation Army - Euclid,St. Louis City,314-376-5121,Fri 9:00-12:00 Plus Emergencies Plus Thurs before 2nd Fri 9:00-12:00,"2618 North Euclid
St. Louis, MO 63113
(38.667489, -90.254704)",
Life Church,New Madrid,573-472-1097,3RD Tues 9:00-12:00 (Sikeston residents must live in new madrid co),"951 South Kingshighway
Sikeston, MO 63801
(36.867141, -89.585)",
The Food Center,Johnson,660-747-6188,Tues & Thurs 1:00-4:00; Sat 9:00-12:00,"137 East Culton Street
Warrensburg, MO 64093
(38.763954, -93.738784)",
Bernie General Baptist Church,Stoddard,573-625-1567,3rd Sat 1:00-4:00,"201 Fleming Street
Bernie, MO 63822
(36.670272, -89.964732)",
Livingston County Food Pantry,Livingston,660-247-2822,2nd Thurs 9:00-12:00 & 1:00-5:00,"403 Locust
Chillicothe, MO 64601
(39.79082, -93.552498)",
St. Mary'S St. Vincent De Paul Soc.,Jackson,816-252-8649,Wed & Thurs 9:00-11:30 & 12:30-3:00,"600 North Liberty Street
Independence, MO 64050
(39.096969, -94.416877)",
Bloomsdale St. Agnes/St. Lawrence,Ste. Genevieve,573-883-6861,Wed 9:15-11:15,"40 St. Agnes Drive
Bloomsdale, MO 63627
(38.006769, -90.222317)",
Crosslines - Mcdonald County,Mcdonald,417-845-1800,Mon-Wed 9:00-1:00 & Thurs 12:00-4:00,"925 North Highway 71
Anderson, MO 64847
(36.667365, -94.442267)",
New Madrid Food Pantry,New Madrid,,"1st, 2nd & 3rd Thurs 10:00-12:00, 4th Thurs 4:30-6:00","201 Pinnell
New Madrid, MO 63869
(36.593015, -89.521571)",
Ozark County Food Pantry,Ozark,417-679-3334,1st Wed 9:00-2:00 & 2nd Wed 10:00-1:00,"1155 County Road 608
Gainesville, MO 65655
(36.609139, -92.439599)",
Word Outreach Ministries,Pemiscot,573-359-6334,Mon-Thurs 9:00-12:00; Sun 11:00-1:00,"418 Broadway
Hayti, MO 63851
(36.050916, -90.232584)",
Salvation Army - Springfield Pantry,Greene,417-862-5509,"1st, 2nd & 3rd Wed 9:30-11:30 & 1:00-2:30","1707 West Chestnut Expressway
Springfield, MO 65802
(37.214389, -93.313675)",
Share The Harvest Food Pantry,Camden,573-873-5855,"Tues 1:00-7:00, Wed & Thurs 10:00-4:00","689 North State Highway 7
Camdenton, MO 65020
(38.094877, -92.833363)",
Community Services - Atchinson County (Caa),Atchison,660-736-4646,Mon-Thurs 8:00-4:00,"322 Main Street
Tarkio, MO 64491
(40.44047, -95.378573)",
Cassville United Methodist,Barry,417-847-2328,4th Tues 3:30-5:00,"601 Gravel Street
Cassville, MO 65625
(36.679142, -93.870379)",
Community Food Pantry,Saline,660-831-0971,"Last full week of month 10:00-5:00, Emergencies all month 5:00-6:00","165 West Morgan
Marshall, MO 65340
(39.119486, -93.198217)",
Cathedral Of St. Joseph,Buchanan,816-232-7763,"Mon, Wed & Fri 9:30-11:00","519 North 10th Street
St. Joseph, MO 64501
(39.770527, -94.84822)",
"Community Services, Inc. - Holt Co.      (Caa)",Holt,660-442-5722,Tues & Thurs 8:00 - 4:30,"1530 Nebraska Street
Mound City, MO 64470
(40.14556, -95.232183)",
Calvary Chapel Fwb Church,Dallas,417-345-6418,3rd Tues 1:30-4:30,"26 Oak Ridge Road
Buffalo, MO 65622
(37.635478, -93.094385)",
Shannon County Food Pantry,Shannon,573-325-4745,"4TH Mon HMBND/HCAP/60 2:00-5:00, 1st Tues All other 9:00-12:30","102 West Second Street
Winona, MO 65588
(37.008982, -91.327334)",
Lamar Good Samaritan,Barton,417-682-5396,Mon & Wed-Fri 9:00-5:00,"1301 Parry Street
Lamar, MO 64759
(37.491846, -94.269956)",
Main Street Ministries,Wayne,573-223-2023,Thurs 9:00-11:00,"415 South Main Street
Piedmont, MO 63957
(37.152906, -90.697348)",
St. James Food Pantry,Washington,573-438-4686,3rd Sat 6:00-10:00,"201 North Missouri Avenue
Potosi, MO 63664
(37.937042, -90.787054)",
Pilgram Rest Missionary Baptist  Church,New Madrid,573-421-4593,1st Sat 9:00-11:00,"Highway East South
Canalou, MO 63846
(36.75505, -89.68703)",
South Iron Food Pantry,Iron,573-598-1016,Wed 4:00-5:30 & Fri 2:00-5:00; 4th Wed 12:30-2:00,"201 South Front Street
Desarc, MO 63620
(37.281871, -90.637383)",
Carondelet Community Betterment (Formerly St. Joseph Ctr),St. Louis City,314-752-6339,Mon & Wed 8:15-11:45,"6408 Michigan
St. Louis, MO 63111
(38.557927, -90.251051)",
Community Services League,Jackson,816-355-0328,Wed 9:00-12:00 & 1:00-3:00,"207 West Walnut
Grain Valley, MO 64050
(39.207431, -93.520052)",
Helping Hands Food Distribution for Clark County,Clark,660-988-8410,Tues after the 3rd Mon 8:00-3:00,"645 East Main Street
Kahoka, MO 63445
(40.420268, -91.712306)",
Oregon County Food Pantry - Thayer,Oregon,417-778-7450,1st Thurs 9:00-12:00,"201 Market Street
Thayer, MO 65606
(36.695873, -91.398509)",
Vineyard Church,Clay,816-734-8100,"Mon, Wed & Sat 9:00 - 11:30","12300 Northwest Arrowhead Trafficway
Kansas City, MO 64165
(39.317934, -94.585946)",
Crosslines - Springfield,Greene,417-869-0563,Mon-Fri 9:00-1:45 & 3rd Mon 5:00-7:00  (Jan-Oct only),"615 North Glenstone
Springfield, MO 65802
(37.213723, -93.261793)",
Good Neighbors Pantry,Scott,573-471-1818,Every Fri 9:00-2:00 except 5th Fri,"813 Davis Boulevard
Sikeston, MO 63801
(36.883883, -89.597367)",
Central Pantry,Boone,573-777-9991,Tues-Fri 10:00-4:00 & Sat 10:00-2:00,"1007 Big Bear Boulevard
Columbia, MO 65202
(38.977007, -92.324889)",
Texas County Food Pantry,Texas,417-967-4484,"Tues-Fri 10:00-2:00, closed 2nd Wed of each month","102-A East Highway 17
Houston, MO 65483
(37.31953, -91.95879)",
Raymore Outreach Center (WCMCAA),Cass,816-322-0502,Tues 9:00-12:00,"208 W Walnut
Raymore, MO 64083
(38.804638, -94.454576)",
Samaritan Center,Cole,573-634-7776,Mon-Thurs 9:30-11:30 & Thurs evening 4:00-6:00,"1310 East Mccarty
Jefferson City, MO 65101
(38.547463, -92.117388)",
Stoddard Co Gospel Mission - Puxico Office,Stoddard,573-624-8979,Tues 9:00-3:30,"Highway 51
Puxico, MO 63825
(36.99249, -90.116)",
Jona'S Java,Wayne,573-429-2367,4th Sat 10:00-12:00,"137 Main Street
Greenville, MO 63944
(37.126168, -90.449177)",
Loaves And Fishes Food Pantry,Maries,573-422-3746,1st Wed & 2nd Tues 8:00-12:00,"411 Coffey Street
Vienna, MO 65582
(38.185768, -91.947699)",
Grandview Assistance Program,Jackson,816-761-1919,Mon-Fri 9:00-12:00 & 1:00-3:00,"1121 Main Street
Grandview, MO 64030
(38.889245, -94.532297)",
Odessa Community Services,Lafayette,816-230-7558,"Mon, Wed & Fri 9:00 - 12:30","212 South 2nd Street
Odessa, MO 64076
(38.999076, -93.953647)",
Eldon Community Food Pantry,Miller,573-392-8380,Mon & 1st & 2nd Wed 9:00-1:30,"312 East 2nd
Eldon, MO 65026
(38.348244, -92.578782)",
The Samaritan Center,Henry,660-885-8555,"Mon, Tues, Wed, & Fri 9:00-1:00; 3rd Wed 3:00-6:00","1317 South Second
Clinton, MO 64735
(38.355664, -93.774885)",
Migrant Farm Worker'S Project,Lafayette,816-968-2227,Aug. 1 - Oct. 31 Mon 5:00-7:00 Nov. 1 - Jul 31 3rd Tues 3:00 - 6:00,"735 South Highway 13
Lexington, MO 64108
(39.169641, -93.877042)",
Heart Of America Indian Center,Jackson,816-421-7608,Mon-Fri 8:30-4:30,"600 W 39Th Street
Kansas City, MO 64111
(39.056826, -94.593212)",
Milan Inter-Faith Food Pantry,Sullivan,660-265-5825,2nd Fri after 1st Wed 8:00 - 5:30,"106 West 2nd Street
Milan, MO 63556
(40.20286, -93.124626)",
Lindwood Seventh Day Adventist Food Pantry,Jackson,816-924-8550,2nd & 4th Sun 9:00-11:00,"4300 Linwood Boulevard
Kansas City, MO 64128
(39.067422, -94.53338)",
Agape SDA,St. Louis Co,314-452-9882,1st & 3rd Wed 10:00-1:00,"6501 Bartmer
St. Louis, MO 63130
(38.664499, -90.302439)",
Flame Of Hope,Mississippi,573-427-8571,Mon-Thurs 8:00-11:00 & 1:00-4:00,"604 West Washington
East Prairie, MO 63845
(36.782757, -89.391252)",
St. Therese Church,Jackson,816-444-5406,Mon-Fri 10:00-3:00,"5814 Euclid Avenue
Kansas City, MO 64130
(39.021098, -94.562502)",
Bishop Sullivan Center,Jackson,816-231-0984,Mon-Thurs 1:30-4:00,"6435 Truman Road
Kansas City, MO 64126
(39.093789, -94.506321)",
Douglass Comm. Services Food Pantry,Marion,573-221-3892 Ext 248,1st Thurs 8:30-4:00 & following Fri 8:30-4:00,"711 Grand Avenue
Hannibal, MO 63401
(39.711339, -91.373527)",
Little White Water Food Pantry,Bollinger,573-576-0910,1st & 3rd Tues 8:30-10:30,"Junction JJ & Bollinger 350
Patton, MO 63662
(37.50315, -90.01333)",
"Guadalupe Center, Inc.",Jackson,816-561-6885,Tues 9:00-1:00,"2600 Belleview
Kansas City, MO 64108
(39.080481, -94.596401)",
St. Louis Dream Center,St. Louis City,314-381-0700,"Tues, Wed & Fri 1:00-3:00","4324 Margaretta Avenue
St. Louis, MO 63115
(38.671772, -90.234317)",
The King's Food Pantry,Webster,417-935-2324,"1st Thurs 9:00-4:00, 2nd Thurs closed, 3rd Thurs 11:00-1:00 seniors & 2:00-7:00 others, 4th Thurs 9:00-4:00","732 South Division
Seymour, MO 65746
(37.139586, -92.772241)",
Immaculate Conception/Maplewood,St. Louis Co,314-719-2929,Sat 9:30-11:00,"2934 Marshall Avenue
Maplewood, MO 63143
(38.611225, -90.316555)",
Central Community United Methodist,Barry,417-858-6707,1st Fri 1:00-3:00,"25682 Highway YY
Shell Knob, MO 65747
(36.60999, -93.58998)",
Community Food Pantry Of Butler,Bates,660-679-3951,Mon-Thurs 8:30-11:30 & 12:30-3:00,"709 W Ohio
Butler, MO 64730
(38.2591, -94.344306)",
Prairie Chapel United Methodist,Dallas,417-993-4403,3rd Tues 2:00-6:00,"US Highway 65
Urbana, MO 65767
(37.85496, -93.17559)",
Feed My People (High Ridge),Jefferson,636-677-9885,"Mon 10:00-1:00, Tue, Wed, Fri 10:00-2:00, Thurs 10:00-1:00, Sat 9:30-12:00","3295 Ottomeyer
High Ridge, MO 63049
(38.45067, -90.538507)",
St Anthony Food Pantry,St. Louis City,314-352-1460,Mon & Thurs 10:00-12:00; Wed 4:30-6:00,"3140 Meramec Street
St Louis, MO 63118
(38.580332, -90.239431)",
Carter County Food Pantry,Carter,573-323-8377,3rd Sat 8:00-10:00,"14 Ball Park Road
Van Buren, MO 63965
(36.995494, -91.015026)",
Mountain Grove Love Center,Wright,417-926-5788,Wed - Fri 10:00-3:30,"117 East 2nd Street
Mountain Grove, MO 65711
(37.12985, -92.26318)",
Red Star Pantry,Cape Girardeau,573-200-1565,"4th Sat 9:00-11:00, Nov & Dec 3rd SAT 9:00-11:00","1302 North Main
Cape Girardeau, MO 63701
(37.318859, -89.514128)",
Colonial Presbyterian Church - Encouragers Community Outreach,Jackson,816-942-3272,Tues & Thurs 10:30-1:30,"9500 Wornall Road
Kansas City, MO 64114
(38.955169, -94.59596)",
Helping Hand,Dunklin,573-888-9048,Mon-Fri 10:00-2:00,"511 Frisco
Kennett, MO 63857
(36.238754, -90.051676)",
Wappapello Methodist Food Pantry,Wayne,573-380-1350,2nd & 3rd Tues 9:00-12:00,"Highway D
Wappapello, MO 63966
(36.93498, -90.27374)",2 1/2 Mi N Of Dam
St. Joseph Catholic Church - Billings,Christian,417-744-2490,2nd Sat 7:30-10:00,"320 Northwest Washington Avenue
Billings, MO 65610
(37.068205, -93.556152)",
Faithwalk Ministries Food Pantry,Monroe,660-327-5627,1st Tues 9:00-4:00,"25555 Highway 24
Paris, MO 65275
(39.48877, -92.00755)",
Hope Center Of Pike County Llc,Pike,573-324-6255,"Tues, Thurs, Sat 10:00-12:00","30 North Court St
Bowling Green, MO 63334
(39.342671, -91.195285)",
